workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
544.nab,500,1,0.0,0.0008444162972345366,0.0
544.nab,500,2,0.0,0.006963494408102976,0.0
544.nab,500,4,0.0,0.010130856901646263,0.0
544.nab,500,8,0.0,0.11698988195615515,0.0008442380751371887
544.nab,500,0,0.0,0.6114261709724848,0.20623551716873814
544.nab,1000,2,0.0,0.0,0.0
549.fotonik3d,250,2,0.0,7.854988462060541,1.076038766883184
549.fotonik3d,500,1,0.0,1.3299940311990837,3.36479415871734e-05
549.fotonik3d,500,2,0.0,3.090182894858588,0.04232397075798384
549.fotonik3d,500,4,0.0,3.9723084340253716,0.8667209245544071
549.fotonik3d,500,8,0.0,4.410659240838086,1.342006299820005
549.fotonik3d,500,0,2.796146909558628e-05,4.851965258354189,1.816929789765966
549.fotonik3d,1000,2,0.0,0.7115191767084779,0.0009080972000336333
557.xz,250,2,0.0,5.7686359140365076,0.19163725804726767
557.xz,500,1,0.0,0.2672468022646257,0.0
557.xz,500,2,0.0,1.872987298729873,0.0
557.xz,500,4,0.0,2.7721951219512193,0.37304238880768426
557.xz,500,8,0.0,3.2199154171472513,0.8480674342105263
557.xz,500,0,0.0,3.662997057986144,1.3298227848101265
557.xz,1000,2,0.0,0.11118143459915612,0.0
grep_map0,250,2,0.0,3.965836664146052,0.5100327788499831
grep_map0,500,1,0.0,0.00546448087431694,3.1036623215394166e-05
grep_map0,500,2,0.0,1.1072164332845669,3.1036623215394166e-05
grep_map0,500,4,0.0,1.9130888232226664,0.13725490196078433
grep_map0,500,8,0.0,2.3393132605839,0.5587851176917236
grep_map0,500,0,0.0,2.7925144224004503,1.0175847837789342
grep_map0,1000,2,0.0,0.002173575531749728,0.0
h264_encode,250,2,0.0,0.38883655204898726,0.06524317912218268
h264_encode,500,1,0.0,0.034261241970021415,0.0
h264_encode,500,2,0.0,0.12194543297746145,0.0
h264_encode,500,4,0.0,0.1766239924134661,0.023095238095238096
h264_encode,500,8,0.0,0.20908230842005676,0.049476688867745006
h264_encode,500,0,0.0,0.24290444654683066,0.0824423853646947
h264_encode,1000,2,0.0,0.015234467983813378,0.0
jp2_decode,250,2,0.0,4.4766380478987795,0.509404951053252
jp2_decode,500,1,0.0,0.11731814917410485,0.0
jp2_decode,500,2,0.0,1.2948120226168038,0.021556148634777252
jp2_decode,500,4,0.0,2.153548449518649,0.2049936305732484
jp2_decode,500,8,0.0,2.5788996516677005,0.6490928280645324
jp2_decode,500,0,0.0,3.0184801056006036,1.1070808316379694
jp2_decode,1000,2,0.0,0.05529006731411541,0.0010799691437387504
jp2_encode,250,2,0.0,3.2500850861071404,0.3415059966600881
jp2_encode,500,1,0.0,0.009698518908352756,0.0
jp2_encode,500,2,0.0,0.808318661971831,0.0
jp2_encode,500,4,0.0,1.5418821839080459,0.07801950487621906
jp2_encode,500,8,0.0,1.912218352405999,0.4215482722823669
jp2_encode,500,0,0.0,2.289982425307557,0.8099464534585198
jp2_encode,1000,2,0.0,0.004506196019526849,0.0
tpcc64,250,2,0.0,5.7438754923623785,0.659697651978128
tpcc64,500,1,0.0,0.2786242437822093,0.0
tpcc64,500,2,0.0,1.9081272084805654,0.0
tpcc64,500,4,0.0,2.801168980273458,0.4341577540106952
tpcc64,500,8,0.0,3.255556704228264,0.9157192829033669
tpcc64,500,0,0.0,3.700060839586291,1.3933326117545188
tpcc64,1000,2,0.0,0.12208907981008366,0.0
tpch17,250,2,0.0,5.435357813386893,0.6695612662190135
tpch17,500,1,0.0,0.2283184929744197,5.168760014472528e-05
tpch17,500,2,0.0,1.80343716433942,0.00010315127133941927
tpch17,500,4,0.0,2.689112560249504,0.3873207084885917
tpch17,500,8,0.0,3.149245283018868,0.8598783736241644
tpch17,500,0,0.00018860095809286712,3.5914003325327912,1.3427044149673333
tpch17,1000,2,0.0,0.1095368128187954,5.172770535899027e-05
tpch2,250,2,0.0,5.711683666710822,0.8130405854956753
tpch2,500,1,0.0,0.24664700098328418,0.0
tpch2,500,2,0.0,1.9651388474171394,0.0
tpch2,500,4,0.0,2.8415009598319387,0.4533857103963284
tpch2,500,8,0.0,3.2749438562720563,0.929876769295334
tpch2,500,0,0.000148672355862151,3.7071865981558387,1.4009078290880443
tpch2,1000,2,0.0,0.12138454243717402,0.0
tpch6,250,2,0.0,2.4943157288818534,0.2773857011353176
tpch6,500,1,0.0,0.1201418877236274,0.0
tpch6,500,2,0.0,0.77979585709997,0.00015542430836182778
tpch6,500,4,0.0,1.1557922769640478,0.1615501519756839
tpch6,500,8,0.0,1.4886778670562455,0.3462709284627093
tpch6,500,0,0.0,1.9669144439586066,0.7208986731001207
tpch6,1000,2,0.0,0.0525103638876094,0.0
wc_8443,250,2,0.0,3.9651955753221575,0.4404617723606566
wc_8443,500,1,0.0,0.0050058662495111456,0.0
wc_8443,500,2,0.0,1.0165868414418957,0.0
wc_8443,500,4,0.0,1.9215753340988493,0.0952899961074348
wc_8443,500,8,0.0,2.371262678584335,0.5427622332950045
wc_8443,500,0,0.0,2.8249217341808177,1.0246491272196792
wc_8443,1000,2,0.0,0.0013824764587735087,0.0
wc_map0,250,2,0.0,3.9621026053024218,0.4388448177528905
wc_map0,500,1,0.0,0.003516414307082688,0.0
wc_map0,500,2,0.0,1.013874797077922,0.0
wc_map0,500,4,0.0,1.914820285573609,0.09582418731054668
wc_map0,500,8,0.0,2.3697059322650245,0.5419099303001466
wc_map0,500,0,0.0,2.819493121617433,1.0229838505543463
wc_map0,1000,2,0.0,0.0009711540985327698,0.0
ycsb_abgsave,250,2,0.0,2.781563126252505,0.011450381679389313
ycsb_abgsave,500,1,0.0,0.02335279399499583,0.0
ycsb_abgsave,500,2,0.0,0.20434566263061868,0.0038378107792424497
ycsb_abgsave,500,4,0.0,1.1622714771072642,0.015007503751875938
ycsb_abgsave,500,8,0.0,1.630793905372895,0.26191654296552863
ycsb_abgsave,500,0,0.0,2.10593085949889,0.7441518076230983
ycsb_abgsave,1000,2,0.0,0.011174116077384923,0.0016686133822793258
ycsb_aserver,250,2,0.0,5.205130706203668,0.13077879507177576
ycsb_aserver,500,1,0.0,0.002751662462737904,0.0
ycsb_aserver,500,2,0.0,1.5712573545434736,0.0
ycsb_aserver,500,4,0.0,2.4810193507454796,0.2937865826204412
ycsb_aserver,500,8,0.0,2.936719400499584,0.7546897546897547
