workload,TRH-D,TREF_Freq,QPRAC,MINT,PrISM
436.cactusADM,500,0,0.9106373680435402,0.8781819098817155,0.9438200906402817
436.cactusADM,1000,2,0.9106373680435402,0.9892691506408525,1.0
437.leslie3d,250,2,0.7674289206999168,0.8415465148310495,1.0
437.leslie3d,500,1,0.7674289206999168,0.9866928552511078,1.0
437.leslie3d,500,2,0.7674289206999168,0.9401461393693444,0.9997493909417462
437.leslie3d,500,4,0.7674289206999168,0.918835104668573,0.9842865311082586
437.leslie3d,500,8,0.7674289206999168,0.9067590940475363,0.9706517981196109
437.leslie3d,500,0,0.7674289206999168,0.896135986598301,0.9573302100475239
437.leslie3d,1000,2,0.7674289206999168,0.9930477919648357,1.0
444.namd,250,2,0.9873866563135228,0.9995149008118582,0.998139947164716
444.namd,500,1,0.9873866563135228,1.0,1.0
444.namd,500,2,0.9873866563135228,0.9992583078478462,1.0
444.namd,500,4,0.9873866563135228,0.9989321663443916,1.0
444.namd,500,8,0.9873866563135228,0.999483106968653,1.0
444.namd,500,0,0.9873866563135228,0.9985954472272326,0.9995996851333471
444.namd,1000,2,0.9873866563135228,1.0,1.0
445.gobmk,250,2,0.9828679490650202,0.989452338982272,0.9938324419881887
445.gobmk,500,1,0.9828679490650202,1.0,1.0
445.gobmk,500,2,0.9828679490650202,0.9989840654680956,1.0
445.gobmk,500,4,0.9828679490650202,0.996690523481976,1.0
445.gobmk,500,8,0.9828679490650202,0.9917853816343216,0.9984188701637615
445.gobmk,500,0,0.9828679490650202,0.9865069877741415,0.9937542707752376
445.gobmk,1000,2,0.9828679490650202,1.0,1.0
447.dealII,250,2,0.988577107735645,0.9994484276310542,0.9994029531640772
447.dealII,500,1,0.988577107735645,1.0,1.0
447.dealII,500,2,0.988577107735645,1.0,1.0
447.dealII,500,4,0.988577107735645,1.0,1.0
447.dealII,500,8,0.988577107735645,1.0,1.0
447.dealII,500,0,0.988577107735645,0.9985905251200917,0.9997066960622253
447.dealII,1000,2,0.988577107735645,1.0,1.0
450.soplex,250,2,0.8466041699702014,0.8721142953033615,1.0
450.soplex,500,1,0.8466041699702014,1.0,1.0
450.soplex,500,2,0.8466041699702014,0.9586475620919774,1.0
450.soplex,500,4,0.8466041699702014,0.9528241048979469,1.0
450.soplex,500,8,0.8466041699702014,0.948954307882992,0.9872858699454415
450.soplex,500,0,0.8457218343647037,0.9296371848491406,0.9855679956891508
450.soplex,1000,2,0.8466041699702014,1.0,1.0
456.hmmer,250,2,0.9484101297088385,0.9457541141014526,1.0
456.hmmer,500,1,0.9484101297088385,1.0,1.0
456.hmmer,500,2,0.9484101297088385,1.0,0.9939696497935844
456.hmmer,500,4,0.9484101297088385,0.976587401184566,0.9955111407612149
456.hmmer,500,8,0.9484101297088385,0.9785652866748178,1.0
456.hmmer,500,0,0.9484101297088385,0.9713888435028918,0.9898851723178436
456.hmmer,1000,2,0.9484101297088385,1.0,1.0
458.sjeng,250,2,0.9914115040835954,0.9920789566464081,0.9966468246764529
458.sjeng,500,1,0.9914115040835954,1.0,1.0
458.sjeng,500,2,0.9914115040835954,1.0,1.0
458.sjeng,500,4,0.9914115040835954,0.9968936421650654,1.0
458.sjeng,500,8,0.9914115040835954,0.9924748513885092,0.9998588736016669
458.sjeng,500,0,0.9914115040835954,0.9875460190819126,0.9953284336503051
458.sjeng,1000,2,0.9914115040835954,1.0,1.0
459.GemsFDTD,250,2,0.8235868880942308,0.815269450179652,1.0
459.GemsFDTD,500,1,0.8235868880942308,0.9662695716126384,1.0
459.GemsFDTD,500,2,0.8235868880942308,0.9225676502692044,0.9978438417476827
459.GemsFDTD,500,4,0.8235868880942308,0.9013399595557149,0.9705513944923222
459.GemsFDTD,500,8,0.8235868880942308,0.8903051964738382,0.9582987679333541
459.GemsFDTD,500,0,0.8235868880942308,0.8804118141189204,0.9453093519678609
459.GemsFDTD,1000,2,0.8235868880942308,0.9826215733983541,0.9995848975513009
462.libquantum,250,2,0.6317277757131724,0.8336273527532152,0.9413485512204453
462.libquantum,500,1,0.6317277757131724,0.9775855557837005,1.0
462.libquantum,500,2,0.6317277757131724,0.9355806003828478,0.9999873139724444
462.libquantum,500,4,0.6317277757131724,0.9116408910437618,0.9836465203003736
462.libquantum,500,8,0.6317277757131724,0.8994149952980751,0.9699962450660191
462.libquantum,500,0,0.6317277757131724,0.8869511114024126,0.9560978901863831
462.libquantum,1000,2,0.6317277757131724,0.98831780920179,1.0
464.h264ref,250,2,0.9810658490059458,0.9966493629057901,0.998532195308525
