W,R,L,QTH,ABO_ACT,single_row_security_margin,TRH_D_margin,SHQ_entries,sampling_fraction,A_star,K_floor_star,X_win_star,N_per_row_star,p_m_analytical,TRH_D_base_analytical,TRH_D_analytical,p_m_simulated,TRH_D_base_simulated,TRH_D_margin_simulated,TRH_D_simulated,mc_target_appearances,mc_windows,mc_seeds
72,4,24,4,12,16,16,72,0.05555555555555555,359,4,4.986111111111111,1642,0.021563385948707256,821,837,0.021693184481219804,819,16,835,5013925,5000000,5
72,4,25,4,12,16,16,75,0.05555555555555555,312,5,4.333333333333333,1890,0.022939171512792317,811,827,0.022863016381735518,813,16,829,5769230,5000000,5
72,5,5,4,12,16,16,20,0.06944444444444445,216,1,3.0,2730,0.01749638758328999,1069,1085,0.0174872365025527,1069,16,1085,8333335,5000000,5
72,5,6,4,12,16,16,24,0.06944444444444445,252,1,3.5,2340,0.01749638758328999,1051,1067,0.01752702525810758,1049,16,1065,7142855,5000000,5
72,5,7,4,12,16,16,28,0.06944444444444445,288,1,4.0,2048,0.01749638758328999,1015,1031,0.01739792,1019,16,1035,6250000,5000000,5
72,5,8,4,12,16,16,32,0.06944444444444445,311,1,4.319444444444445,1896,0.01864019304117069,948,964,0.018783540493937226,944,16,960,5787780,5000000,5
72,5,9,4,12,16,16,36,0.06944444444444445,240,2,3.3333333333333335,2457,0.020663848851267277,911,927,0.020639466666666665,912,16,928,7500000,5000000,5
72,5,10,4,12,16,16,40,0.06944444444444445,264,2,3.6666666666666665,2234,0.020663848851267277,905,921,0.020679712181256582,904,16,920,6818180,5000000,5
72,5,11,4,12,16,16,44,0.06944444444444445,288,2,4.0,2048,0.020663848851267277,896,912,0.0206872,895,16,911,6250000,5000000,5
72,5,12,4,12,16,16,48,0.06944444444444445,312,2,4.333333333333333,1890,0.020663848851267277,884,900,0.020604482747264365,886,16,902,5769230,5000000,5
72,5,13,4,12,16,16,52,0.06944444444444445,336,2,4.666666666666667,1755,0.020663848851267277,865,881,0.02057719176912329,868,16,884,5357145,5000000,5
72,5,14,4,12,16,16,56,0.06944444444444445,354,2,4.916666666666667,1666,0.021364601407078937,831,847,0.021432736548243816,829,16,845,5084745,5000000,5
72,5,15,4,12,16,16,60,0.06944444444444445,288,3,4.0,2048,0.023466859074513943,801,817,0.02345328,801,16,817,6250000,5000000,5
72,5,16,4,12,16,16,64,0.06944444444444445,306,3,4.25,1927,0.023466859074513943,796,812,0.023425161712580855,798,16,814,5882350,5000000,5
72,5,17,4,12,16,16,68,0.06944444444444445,324,3,4.5,1820,0.023466859074513943,791,807,0.023314142331414232,796,16,812,5555555,5000000,5
72,5,18,4,12,16,16,72,0.06944444444444445,342,3,4.75,1724,0.023466859074513943,785,801,0.0234720429096236,785,16,801,5263155,5000000,5
72,5,19,4,12,16,16,76,0.06944444444444445,360,3,5.0,1638,0.023466859074513943,777,793,0.0234432,777,16,793,5000000,5000000,5
72,5,20,4,12,16,16,80,0.06944444444444445,378,3,5.25,1560,0.023466859074513943,766,782,0.023465818826709058,766,16,782,4761905,5000000,5
72,5,21,4,12,16,16,84,0.06944444444444445,394,3,5.472222222222222,1497,0.023744369612953696,748,764,0.02385890413207764,746,16,762,4568525,5000000,5
72,5,22,4,12,16,16,88,0.06944444444444445,406,3,5.638888888888889,1452,0.024576901228272927,724,740,0.024478177512123604,725,16,741,4433500,5000000,5
72,5,23,4,12,16,16,92,0.06944444444444445,346,4,4.805555555555555,1704,0.025964453920471645,719,735,0.026026515144234003,718,16,734,5202310,5000000,5
72,5,24,4,12,16,16,96,0.06944444444444445,360,4,5.0,1638,0.025964453920471652,716,732,0.0259496,716,16,732,5000000,5000000,5
72,5,25,4,12,16,16,100,0.06944444444444445,375,4,5.208333333333333,1572,0.025964453920471645,711,727,0.02594125,712,16,728,4800000,5000000,5
72,6,5,4,12,16,16,25,0.08333333333333333,216,1,3.0,2730,0.01923076834124487,980,996,0.019310756137848772,976,16,992,8333335,5000000,5
72,6,6,4,12,16,16,30,0.08333333333333333,252,1,3.5,2340,0.01923076834124487,969,985,0.01913660574098172,973,16,989,7142855,5000000,5
72,6,7,4,12,16,16,35,0.08333333333333333,288,1,4.0,2048,0.01923076834124487,951,967,0.01929616,948,16,964,6250000,5000000,5
72,6,8,4,12,16,16,40,0.08333333333333333,323,1,4.486111111111111,1826,0.01935795505180646,913,929,0.019383034618393757,912,16,928,5572760,5000000,5
72,6,9,4,12,16,16,45,0.08333333333333333,347,1,4.819444444444445,1699,0.020884195578545574,848,864,0.020885929535868233,848,16,864,5187320,5000000,5
72,6,10,4,12,16,16,50,0.08333333333333333,264,2,3.6666666666666665,2234,0.023809489921462174,794,810,0.023807233015262136,795,16,811,6818180,5000000,5
72,6,11,4,12,16,16,55,0.08333333333333333,288,2,4.0,2048,0.023809489921462174,790,806,0.02384752,789,16,805,6250000,5000000,5
72,6,12,4,12,16,16,60,0.08333333333333333,312,2,4.333333333333333,1890,0.023809489921462174,785,801,0.023829869843982644,784,16,800,5769230,5000000,5
72,6,13,4,12,16,16,65,0.08333333333333333,336,2,4.666666666666667,1755,0.023809489921462174,778,794,0.02389183044326782,776,16,792,5357145,5000000,5
72,6,14,4,12,16,16,70,0.08333333333333333,360,2,5.0,1638,0.023809489921462174,768,784,0.0237268,770,16,786,5000000,5000000,5
72,6,15,4,12,16,16,75,0.08333333333333333,384,2,5.333333333333333,1536,0.023809489921462174,755,771,0.023834026666666668,754,16,770,4687500,5000000,5
